year,period,channel,volume,value
2024,Jan-Jun,Cheques,6877644,8741212873693
2024,Jan-Jun,ATM Transactions,496436959,12206733099741.90
2024,Jan-Jun,POS Transactions,6395670571,85914704798833.20
2024,Jan-Jun,Internet (Web) Transfers,11638142074,825500108736661.00
2024,Jan-Jun,NEFT Transfers,44828568,366070778840562.00
2024,Jan-Jun,RTGS Transfers,182583,95087892176084.50
2024,Jan-Jun,USSD Transfers,252059346,2188099220103.11
2024,Jan-Jun,Mobile App Transfers (Not Mobile Money),3493116888,159419658081137.00
2024,Jan-Jun,Direct Debits,99273566,12517759222441.50
2024,Jan-Jun,MMOs,7181494209,78203693683958.50
2024,Jan-Jun,Total E-Payment Transactions,22419710555,1558905734175560.00
2023,Jan-Dec,Cheques,16054396,15522398801893.90
2023,Jan-Dec,ATM Transactions,1012277981,28212594626317.60
2023,Jan-Dec,POS Transactions,9847258500,110347102925486.00
2023,Jan-Dec,Internet (Web) Transfers,21753925242,1097133039705830.00
2023,Jan-Dec,NEFT Transfers,93112941,646336529663539.00
2023,Jan-Dec,RTGS Transfers,304178,112701551998007.00
2023,Jan-Dec,USSD Transfers,630600359,4840430297077.70
2023,Jan-Dec,Mobile App Transfers (Not Mobile Money),5259477576,219800083901667.00
2023,Jan-Dec,Direct Debits,133580757,21423121326181.10
2023,Jan-Dec,MMOs,10774795048,97163887025386.80
2023,Jan-Dec,Total E-Payment Transactions,38730537534,2240794454444110.00
2022,Jan-Dec,Cheques,16907129,15250724091469.30
2022,Jan-Dec,ATM Transactions,1506991903,32648023588216.20
2022,Jan-Dec,POS Transactions,3885782065,41035801320926.60
2022,Jan-Dec,Internet (Web) Transfers,14063927436,783660029415336.00
2022,Jan-Dec,NEFT Transfers,88468437,477366944460363.00
2022,Jan-Dec,RTGS Transfers,288216,73706479398538.40
2022,Jan-Dec,USSD Transfers,516080595,4494448168094.12
2022,Jan-Dec,Mobile App Transfers (Not Mobile Money),1861362984,111122110680403.00
2022,Jan-Dec,Direct Debits,151011103,26409371273656.00
2022,Jan-Dec,MMOs,1926293135,32599014785038.20
2022,Jan-Dec,Total E-Payment Transactions,22073912739,1550443208305530.00
2021,Jan-Dec,Cheques,18257340,15606837993095.60
2021,Jan-Dec,ATM Transactions,1599187337,21230934547926.60
2021,Jan-Dec,POS Transactions,2743555841,24455416207819.60
2021,Jan-Dec,Online Transfers,10321579925,545039685403942.00
2021,Jan-Dec,NEFT Transfers,172792505,410171471820963.00
2021,Jan-Dec,RTGS Transfers,1042115,588206008267591.00
2021,Jan-Dec,USSD Transfers,552911557,5179896509758.23
2021,Jan-Dec,Mobile App Transfers (Not Mobile Money),831540635,53208272485553.60
2021,Jan-Dec,Direct Debits,103275936,23011791142706.00
2021,Jan-Dec,MMOs,1201541158,15395017340242.20
2021,Jan-Dec,Total E-Payment Transactions,16325885851,1670503476386260.00
2020,Jan-Dec,Cheques,20023553,15417903424084.90
2020,Jan-Dec,ATM Transactions,1914220419,18199660257528.40
2020,Jan-Dec,POS Transactions,655748348,4727076813500.42
2020,Jan-Dec,Online Transfers,6480548630,392340246629460.00
2020,Jan-Dec,NEFT Transfers,184886953,299695123083178.00
2020,Jan-Dec,RTGS Transfers,13460532,490827301156373.00
2020,Jan-Dec,USSD Transfers,482336038,5033391246816.66
2020,Jan-Dec,Mobile App Transfers (Not Mobile Money),411452926,32400853034221.70
2020,Jan-Dec,Direct Debits,2970595,2434383762154.89
2020,Jan-Dec,MMOs,769238689,14987738865830.60
2020,Jan-Dec,Total E-Payment Transactions,10145624441,1245658035983230.00
2019,Jan-Dec,Cheques,7275237,4481668348494.00
2019,Jan-Dec,ATM,839819922,6512612259811.00
2019,Jan-Dec,POS,438614182,3204749863644.00
2019,Jan-Dec,Internet (Web),103497007,478140101693.00
2019,Jan-Dec,Mobile Money,377265208,5080961536595.00
2019,Jan-Dec,NIP,1145785229,105222562871372.00
2018,Jan-Dec,Cheques,9019278,5035334949690.47
2018,Jan-Dec,ATM,875519307,6480085899670.37
2018,Jan-Dec,POS,295890167,2383108901148.12
2018,Jan-Dec,Web,50815901,404600990712.52
2018,Jan-Dec,MMO,87086260,1830701111107.85
2018,Jan-Dec,NIP,663124139,80423025698377.30
